ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
214185_at	3.39E-09	3.03E-11	-17.4	7.977145	-11.1	KHDRBS1	KH RNA binding domain containing, signal transduction associated 1
206614_at	3.74E-09	3.42E-11	-17.3	7.947514	-7.66	GDF5	growth differentiation factor 5
1553772_at	8.88E-09	1.04E-10	-13.4	12.778524	-5.93	GK5	glycerol kinase 5 (putative)
213782_s_at	0.00451	0.000783	-7.6	-1.396101	-5.84	MYOZ2	myozenin 2
214377_s_at	0.000000307	8.06E-09	-11.6	6.21158	-5.62	CTRL	chymotrypsin like
1563170_at	0.000000176	4.14E-09	-11.6	8.658151	-5.37	LOC101927059	uncharacterized LOC101927059
230378_at	1.11E-09	7.51E-12	-8.71	16.822687	-5.35	SCGB3A1	secretoglobin family 3A member 1
235849_at	2.76E-09	2.28E-11	-9.26	15.848386	-5.32	SCARA5	scavenger receptor class A member 5
234829_at	0.000519	0.0000575	-5.44	1.826971	-5.29	DUSP15	dual specificity phosphatase 15
221969_at	0.00054	0.0000604	-5.42	1.304839	-5.21	PAX5	paired box 5
202768_at	4.41E-11	1.31E-13	-9.58	20.74371	-5.19	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit
230930_at	0.00000513	0.000000232	-8.97	4.666603	-5.19	LOC338620	uncharacterized LOC338620
209774_x_at	3.67E-14	1.98E-17	-11.7	29.311243	-5.14	CXCL2	C-X-C motif chemokine ligand 2
226147_s_at	1.35E-17	2.61E-22	-14.9	40.188805	-4.95	PIGR	polymeric immunoglobulin receptor
229523_at	0.0000145	0.000000796	-8.13	4.003427	-4.79	TMEM200C	transmembrane protein 200C
1560306_at	0.000126	0.0000105	-6.99	3.088176	-4.77	SSH2	slingshot protein phosphatase 2
207792_at	3.53E-09	3.19E-11	-8.28	15.405952	-4.48	OPRD1	opioid receptor delta 1
206300_s_at	7.75E-14	5.76E-17	-11.8	28.281662	-4.48	PTHLH	parathyroid hormone like hormone
1569620_s_at	0.00000208	8.01E-08	-6.23	7.7791	-4.47	LOC100128079	uncharacterized LOC100128079
228653_at	0.000000108	2.27E-09	-7.79	11.406196	-4.45	SAMD5	sterile alpha motif domain containing 5
230394_at	1.43E-09	1.05E-11	-11.1	16.46777	-4.44	TCP10L	t-complex 10-like
1569365_a_at	4.65E-08	7.93E-10	-10.9	12.102108	-4.4	KIAA1656	KIAA1656 protein
201497_x_at	9.52E-08	1.95E-09	-7.32	11.429478	-4.39	MYH11	myosin heavy chain 11
223623_at	2.18E-09	1.7E-11	-8.28	15.977546	-4.36	C2orf40	chromosome 2 open reading frame 40
1559790_at	0.00001	0.000000516	-5.62	5.898044	-4.32	LOC646241	uncharacterized LOC646241
204636_at	0.000000875	2.89E-08	-7.52	9.030799	-4.26	COL17A1	collagen type XVII alpha 1 chain
222208_s_at	0.0145	0.00329	-5.45	-1.934616	-4.19	POLR2J4	RNA polymerase II subunit J4, pseudogene
205207_at	2.27E-11	5.36E-14	-9.6	21.588505	-4.17	IL6	interleukin 6
208621_s_at	0.0000835	0.00000643	-6.81	2.761645	-4.15	EZR	ezrin
244056_at	0.00000291	0.00000012	-6.68	7.615675	-4.14	SFTA2	surfactant associated 2
211756_at	3.99E-15	1.25E-18	-12.6	32.000324	-4.11	PTHLH	parathyroid hormone like hormone
207961_x_at	8.63E-08	1.71E-09	-7.1	11.466822	-4.09	MYH11	myosin heavy chain 11
221796_at	8.51E-09	9.85E-11	-7.8	14.253294	-4.02	NTRK2	neurotrophic receptor tyrosine kinase 2
222717_at	1.56E-14	6.96E-18	-12.4	30.321053	-4.02	SDPR	serum deprivation response
206916_x_at	4.89E-08	8.45E-10	-7.35	12.181806	-3.99	TAT	tyrosine aminotransferase
244025_at	0.00149	0.000205	-4.89	0.408237	-3.97	ITPRIP	inositol 1,4,5-trisphosphate receptor interacting protein
205266_at	1.17E-08	1.48E-10	-7.73	13.862857	-3.97	LIF	leukemia inhibitory factor
211198_s_at	0.00000162	5.97E-08	-9.55	6.998825	-3.94	ICOSLG	inducible T-cell costimulator ligand
226046_at	0.000056	0.00000399	-6.7	4.001358	-3.93	MAPK8	mitogen-activated protein kinase 8
216336_x_at	0.00426	0.000731	-4.24	-0.529923	-3.93	MT1E	metallothionein 1E
211169_s_at	0.000312	0.0000313	-5.29	2.516232	-3.93	PPP1R3A	protein phosphatase 1 regulatory subunit 3A
203951_at	1.9E-13	2.04E-16	-11.1	27.03897	-3.92	CNN1	calponin 1
216918_s_at	2.94E-09	2.48E-11	-9.41	15.772609	-3.92	DST	dystonin
