ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
226147_s_at	1.61E-17	7.65E-19	-10.270639	32.116534	-8.517981	PIGR	polymeric immunoglobulin receptor
207175_at	2.06E-20	6.08E-22	-11.465345	39.19665	-8.166418	ADIPOQ	adiponectin, C1Q and collagen domain containing
203980_at	7.6E-12	8.16E-13	-7.872927	18.384479	-7.4371395	FABP4	fatty acid binding protein 4
229839_at	2.38E-52	8.75E-56	-25.989823	116.391911	-7.0265947	SCARA5	scavenger receptor class A member 5
219140_s_at	2.03E-31	9.12E-34	-16.080821	66.232077	-7.0106327	RBP4	retinol binding protein 4
207092_at	1.58E-37	2.69E-40	-18.784423	81.148081	-6.9407601	LEP	leptin
223623_at	1.23E-18	4.89E-20	-10.732207	34.843587	-6.6968529	C2orf40	chromosome 2 open reading frame 40
49452_at	4.29E-20	1.33E-21	-11.334394	38.417925	-6.6874979	ACACB	acetyl-CoA carboxylase beta
209613_s_at	1.94E-12	1.93E-13	-8.130971	19.809062	-6.6569375	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
209612_s_at	1.8E-12	1.78E-13	-8.1453	19.888667	-6.5157595	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
205913_at	4.45E-22	1.02E-23	-12.148162	43.259264	-6.4155029	PLIN1	perilipin 1
228766_at	8.48E-14	6.93E-15	-8.715315	23.09324	-6.3982646	CD36	CD36 molecule
211565_at	2.61E-90	8.73E-95	-52.504434	203.013468	-6.3573425	SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3
235849_at	6.08E-46	4.68E-49	-22.699169	101.112328	-6.2701024	SCARA5	scavenger receptor class A member 5
209763_at	5.17E-17	2.63E-18	-10.062325	30.891062	-6.2502221	CHRDL1	chordin like 1
228409_at	6.05E-30	3.54E-32	-15.444088	62.597929	-6.1233386	PLIN4	perilipin 4
243689_s_at	4.72E-72	3.16E-76	-38.011035	162.338949	-6.1018762	FRG1BP	FSHD region gene 1 family member B, pseudogene
43427_at	3.66E-21	9.45E-23	-11.775927	41.044481	-5.992439	ACACB	acetyl-CoA carboxylase beta
209351_at	0.000000362	7.58E-08	-5.673811	7.156797	-5.9173444	KRT14	keratin 14
230378_at	1.83E-12	1.81E-13	-8.141821	19.869333	-5.8963236	SCGB3A1	secretoglobin family 3A member 1
206825_at	2.03E-20	5.97E-22	-11.468459	39.215172	-5.882432	OXTR	oxytocin receptor
204719_at	7.54E-14	6.13E-15	-8.73677	23.215195	-5.8779151	ABCA8	ATP binding cassette subfamily A member 8
202036_s_at	4.75E-08	8.78E-09	-6.117342	9.26132	-5.8341605	SFRP1	secreted frizzled related protein 1
204455_at	2.87E-11	3.34E-12	-7.617752	16.993446	-5.8338899	DST	dystonin
202037_s_at	0.00000248	0.00000059	-5.232462	5.162832	-5.8267815	SFRP1	secreted frizzled related protein 1
205382_s_at	2.78E-22	6.05E-24	-12.234534	43.772981	-5.7983581	CFD	complement factor D
213706_at	4.77E-44	5.59E-47	-21.736339	96.385397	-5.7527152	GPD1	glycerol-3-phosphate dehydrogenase 1
1552509_a_at	1.6E-47	9.65E-51	-23.498187	104.945511	-5.7256044	CD300LG	CD300 molecule like family member g
203549_s_at	3.22E-16	1.84E-17	-9.732973	28.962122	-5.7188986	LPL	lipoprotein lipase
221795_at	2.17E-13	1.89E-14	-8.540795	22.104651	-5.5565476	NTRK2	neurotrophic receptor tyrosine kinase 2
229985_at	3.88E-28	3.03E-30	-14.679507	58.181399	-5.510617	BTNL9	butyrophilin like 9
230418_s_at	1.67E-15	1.06E-16	-9.435397	27.230084	-5.497329	GALNT16	polypeptide N-acetylgalactosaminyltransferase 16
219398_at	1.69E-35	4.2E-38	-17.859111	76.142331	-5.4785791	CIDEC	cell death inducing DFFA like effector c
230472_at	7.66E-11	9.45E-12	-7.427649	15.969569	-5.4671218	IRX1	iroquois homeobox 1
214087_s_at	1.65E-09	2.45E-10	-6.818145	12.767173	-5.4500803	MYBPC1	myosin binding protein C, slow type
219064_at	2.38E-27	2.08E-29	-14.351078	56.268331	-5.408323	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
235978_at	3.9E-25	5.4E-27	-13.410593	50.745489	-5.393948	FABP4	fatty acid binding protein 4
206243_at	1.41E-32	5.05E-35	-16.589507	69.104189	-5.3731678	TIMP4	TIMP metallopeptidase inhibitor 4
1562527_at	9.57E-54	2.88E-57	-26.753001	119.749457	-5.3312195	LOC441666	zinc finger protein 91 pseudogene
230867_at	5.21E-25	7.35E-27	-13.358752	50.439409	-5.3146306	COL6A6	collagen type VI alpha 6 chain
204712_at	5.65E-13	5.19E-14	-8.362853	21.103251	-5.3054331	WIF1	WNT inhibitory factor 1
227875_at	2.18E-15	1.42E-16	-9.386069	26.944097	-5.2854646	KLHL13	kelch like family member 13
209555_s_at	1.42E-10	1.82E-11	-7.307051	15.325897	-5.1989173	CD36	CD36 molecule
213844_at	6.55E-18	2.92E-19	-10.432293	33.069964	-5.1745278	HOXA5	homeobox A5
221796_at	1.75E-12	1.72E-13	-8.150541	19.917791	-5.1621742	NTRK2	neurotrophic receptor tyrosine kinase 2
206488_s_at	7.21E-12	7.72E-13	-7.88292	18.439323	-5.137654	CD36	CD36 molecule
227952_at	1.29E-13	1.09E-14	-8.637119	22.649532	-5.0964825	ZNF595	zinc finger protein 595
202035_s_at	2.17E-09	3.28E-10	-6.762714	12.482569	-5.0118644	SFRP1	secreted frizzled related protein 1
203296_s_at	2.52E-38	3.88E-41	-19.144941	83.069183	-5.0103614	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2
228434_at	1.01E-20	2.82E-22	-11.593567	39.959405	-5.0062423	BTNL9	butyrophilin like 9
214063_s_at	1.43E-13	1.21E-14	-8.618436	22.543698	-4.9428076	TF	transferrin
209686_at	9.8E-15	7.02E-16	-9.111516	25.35886	-4.9315804	S100B	S100 calcium binding protein B
238066_at	5.19E-11	6.27E-12	-7.502956	16.373846	-4.9018793	RBP7	retinol binding protein 7
222717_at	5.53E-29	3.81E-31	-15.034527	60.238888	-4.8986775	SDPR	serum deprivation response
227419_x_at	4E-31	1.87E-33	-15.955038	65.517527	-4.8879579	PLAC9	placenta specific 9
204731_at	2.12E-09	3.2E-10	-6.767456	12.506871	-4.8856719	TGFBR3	transforming growth factor beta receptor 3
203548_s_at	2.11E-08	3.68E-09	-6.290985	10.110478	-4.8789677	LPL	lipoprotein lipase
219935_at	2.54E-15	1.67E-16	-9.357901	26.780941	-4.845296	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5
1553602_at	0.00164	0.00063	-3.496181	-1.509455	-4.8299982	MUCL1	mucin like 1
239523_at	3.09E-45	2.69E-48	-22.344665	99.385718	-4.8080676	TUSC5	tumor suppressor candidate 5
204734_at	2.79E-08	4.97E-09	-6.231461	9.817865	-4.78826	KRT15	keratin 15
236359_at	2.91E-42	3.71E-45	-20.910476	92.235877	-4.7869319	SCN4B	sodium voltage-gated channel beta subunit 4
213524_s_at	4.21E-15	2.85E-16	-9.266194	26.250548	-4.7759665	G0S2	G0/G1 switch 2
227006_at	4.39E-24	7.25E-26	-12.974616	48.167102	-4.7556119	PPP1R14A	protein phosphatase 1 regulatory inhibitor subunit 14A
221928_at	4.63E-26	5.07E-28	-13.809608	53.09598	-4.7541453	ACACB	acetyl-CoA carboxylase beta
201497_x_at	3.97E-16	2.32E-17	-9.694395	28.736962	-4.7394679	MYH11	myosin heavy chain 11
229476_s_at	2.22E-08	3.88E-09	-6.280731	10.05996	-4.7294723	THRSP	thyroid hormone responsive
212741_at	2.52E-14	1.91E-15	-8.939234	24.370269	-4.7178065	MAOA	monoamine oxidase A
219689_at	6.36E-25	9.13E-27	-13.322318	50.224209	-4.7129471	SEMA3G	semaphorin 3G
211737_x_at	3.74E-10	5.04E-11	-7.117186	14.322245	-4.6971144	PTN	pleiotrophin
224027_at	7.6E-13	7.13E-14	-8.307072	20.790779	-4.6851655	CCL28	C-C motif chemokine ligand 28
215695_s_at	1.46E-19	5E-21	-11.113756	37.106785	-4.6835827	GYG2	glycogenin 2
205923_at	1.21E-30	6.22E-33	-15.745851	64.325474	-4.6781464	RELN	reelin
212730_at	3.27E-09	5.09E-10	-6.67815	12.050675	-4.6715168	SYNM	synemin
204151_x_at	3.08E-12	3.15E-13	-8.043093	19.321994	-4.6671932	AKR1C1	aldo-keto reductase family 1 member C1
213900_at	7.21E-19	2.75E-20	-10.828732	35.415515	-4.6352925	FAM189A2	family with sequence similarity 189 member A2
206799_at	0.000825	0.000299	-3.707928	-0.808671	-4.6215218	SCGB1D2	secretoglobin family 1D member 2
204894_s_at	6.8E-18	3.05E-19	-10.425418	33.029376	-4.5645614	AOC3	amine oxidase, copper containing 3
1556427_s_at	9.73E-29	6.9E-31	-14.932665	59.649714	-4.5528136	LRRN4CL	LRRN4 C-terminal like
208335_s_at	7.28E-10	1.03E-10	-6.98356	13.623351	-4.5455537	ACKR1	atypical chemokine receptor 1 (Duffy blood group)
205883_at	3.82E-16	2.22E-17	-9.701779	28.780044	-4.52893	ZBTB16	zinc finger and BTB domain containing 16
205384_at	1.05E-38	1.55E-41	-19.316578	83.977956	-4.5240179	FXYD1	FXYD domain containing ion transport regulator 1
206209_s_at	3.09E-49	1.45E-52	-24.381181	109.088605	-4.5218781	CA4	carbonic anhydrase 4
238062_at	8.7E-55	2.04E-58	-27.355767	122.353864	-4.51885	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1
209540_at	0.000000077	1.46E-08	-6.013875	8.761901	-4.5146471	IGF1	insulin like growth factor 1
201525_at	0.000011	0.00000289	-4.874286	3.625338	-4.4776624	APOD	apolipoprotein D
225207_at	7.34E-11	9.04E-12	-7.435871	16.01362	-4.4653598	PDK4	pyruvate dehydrogenase kinase 4
1552519_at	4.26E-27	3.88E-29	-14.245125	55.649297	-4.4467598	ACVR1C	activin A receptor type 1C
242197_x_at	9.27E-26	1.11E-27	-13.677518	52.318969	-4.4333588	CD36	CD36 molecule
205478_at	2.54E-12	2.55E-13	-8.080716	19.530284	-4.4300527	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A
226625_at	7.74E-10	1.1E-10	-6.970946	13.557707	-4.4246683	TGFBR3	transforming growth factor beta receptor 3
211726_s_at	8.15E-10	1.16E-10	-6.960162	13.501631	-4.4177027	FMO2	flavin containing monooxygenase 2
218087_s_at	7.54E-13	7.06E-14	-8.308641	20.799556	-4.4057356	SORBS1	sorbin and SH3 domain containing 1
209842_at	0.000000589	0.000000127	-5.564035	6.651096	-4.3991106	SOX10	SRY-box 10
32625_at	2.66E-36	6.06E-39	-18.211363	78.060547	-4.3320048	NPR1	natriuretic peptide receptor 1
206509_at	0.00344	0.00142	-3.25534	-2.264167	-4.3317885	PIP	prolactin induced protein
209466_x_at	2.75E-10	3.65E-11	-7.177481	14.639653	-4.3061222	PTN	pleiotrophin
220232_at	1.04E-53	3.47E-57	-26.711219	119.567388	-4.2920805	SCD5	stearoyl-CoA desaturase 5
203766_s_at	8.22E-19	3.17E-20	-10.804565	35.272277	-4.2828778	LMOD1	leiomodin 1
203400_s_at	2.23E-08	3.9E-09	-6.27969	10.054834	-4.2813725	TF	transferrin
205044_at	0.00223	0.000883	-3.397401	-1.824533	-4.2712212	GABRP	gamma-aminobutyric acid type A receptor pi subunit
213486_at	2.29E-37	4.14E-40	-18.704705	80.721056	-4.2639889	COPG2IT1	COPG2 imprinted transcript 1 (non-protein coding)
222722_at	0.00000505	0.00000126	-5.063596	4.428553	-4.2558709	OGN	osteoglycin
227646_at	7.23E-17	3.78E-18	-10.001166	30.532024	-4.2557755	EBF1	early B-cell factor 1
210051_at	1.15E-27	9.47E-30	-14.484869	57.048726	-4.2392936	RAPGEF3	Rap guanine nucleotide exchange factor 3
228335_at	2.51E-11	2.91E-12	-7.643065	17.130605	-4.2355349	CLDN11	claudin 11
213661_at	4.44E-23	8.62E-25	-12.560213	45.708682	-4.2235054	PAMR1	peptidase domain containing associated with muscle regeneration 1
201820_at	0.0000211	0.00000578	-4.712714	2.957102	-4.2187179	KRT5	keratin 5
238577_s_at	1.31E-17	6.15E-19	-10.307407	32.333212	-4.2033677	TSHZ2	teashirt zinc finger homeobox 2
201540_at	5.64E-13	5.18E-14	-8.363192	21.105153	-4.2008223	FHL1	four and a half LIM domains 1
206378_at	0.0107	0.0049	-2.85816	-3.406369	-4.2007368	SCGB2A2	secretoglobin family 2A member 2
229357_at	8.69E-15	6.17E-16	-9.133711	25.48658	-4.1997471	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5
224061_at	3.59E-30	1.94E-32	-15.548723	63.197988	-4.189398	INMT	indolethylamine N-methyltransferase
219295_s_at	2.22E-08	3.89E-09	-6.280311	10.057892	-4.1891835	PCOLCE2	procollagen C-endopeptidase enhancer 2
209283_at	5.29E-08	9.83E-09	-6.094437	9.150333	-4.1702762	CRYAB	crystallin alpha B
217232_x_at	9.36E-10	1.35E-10	-6.932382	13.35738	-4.1468978	HBB	hemoglobin subunit beta
229947_at	0.00000444	0.0000011	-5.094113	4.560028	-4.1348688	PI15	peptidase inhibitor 15
209863_s_at	7.6E-12	8.16E-13	-7.8728	18.38378	-4.1284222	TP63	tumor protein p63
220625_s_at	0.000145	0.0000459	-4.205838	0.970039	-4.1074759	ELF5	E74 like ETS transcription factor 5
209116_x_at	1.29E-08	2.18E-09	-6.394624	10.623659	-4.0994709	HBB	hemoglobin subunit beta
214598_at	6.36E-08	0.000000012	-6.054873	8.959195	-4.0994603	CLDN8	claudin 8
205498_at	6.41E-09	1.04E-09	-6.538824	11.345299	-4.0962147	GHR	growth hormone receptor
224321_at	1.47E-25	1.85E-27	-13.590902	51.808855	-4.078034	TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2
1556206_at	1.74E-44	1.81E-47	-21.961439	97.501148	-4.0719363	LINC00408	long intergenic non-protein coding RNA 408
226755_at	4.39E-15	2.98E-16	-9.258648	26.206964	-4.0698797	MIR205HG	MIR205 host gene
204271_s_at	8.71E-20	2.88E-21	-11.205831	37.653775	-4.0204971	EDNRB	endothelin receptor type B
204754_at	3.47E-34	1.03E-36	-17.281378	72.963363	-4.0059882	HLF	HLF, PAR bZIP transcription factor
204997_at	2.45E-26	2.53E-28	-13.92687	53.784786	-4.0047113	GPD1	glycerol-3-phosphate dehydrogenase 1
205752_s_at	2.96E-32	1.12E-34	-16.449121	68.314422	-4.0007582	GSTM5	glutathione S-transferase mu 5
209560_s_at	0.000109	0.0000337	-4.283894	1.264835	-3.9941722	DLK1	delta like non-canonical Notch ligand 1
211696_x_at	7.65E-09	1.26E-09	-6.502186	11.161121	-3.9887756	HBB	hemoglobin subunit beta
209465_x_at	1.02E-10	1.27E-11	-7.372651	15.675449	-3.9831829	PTN	pleiotrophin
213071_at	3.49E-15	2.34E-16	-9.299812	26.444838	-3.9778417	DPT	dermatopontin
216331_at	5.05E-30	2.87E-32	-15.480445	62.80655	-3.9690237	ITGA7	integrin subunit alpha 7
226322_at	2.23E-08	3.9E-09	-6.27986	10.055668	-3.9431937	TMTC1	transmembrane and tetratricopeptide repeat containing 1
219230_at	1.39E-17	6.57E-19	-10.296192	32.267113	-3.9374056	TMEM100	transmembrane protein 100
203851_at	3.77E-22	8.44E-24	-12.179018	43.442801	-3.9162566	IGFBP6	insulin like growth factor binding protein 6
228653_at	7.67E-32	3.18E-34	-16.265295	67.276941	-3.9001688	SAMD5	sterile alpha motif domain containing 5
225424_at	5.69E-20	1.82E-21	-11.282804	38.111235	-3.8919278	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial
1556364_at	1.94E-27	1.65E-29	-14.39013	56.496266	-3.8805475	ADAMTS9-AS2	ADAMTS9 antisense RNA 2
213348_at	1.11E-13	9.25E-15	-8.665177	22.808605	-3.8593954	CDKN1C	cyclin dependent kinase inhibitor 1C
228750_at	0.000000845	0.000000187	-5.481904	6.276885	-3.8497918	COL14A1	collagen type XIV alpha 1 chain
228186_s_at	9.09E-10	1.31E-10	-6.938089	13.386992	-3.8286721	RSPO3	R-spondin 3
238447_at	2.57E-10	3.4E-11	-7.190919	14.71056	-3.8225656	RBMS3	RNA binding motif single stranded interacting protein 3
235368_at	3.46E-14	2.68E-15	-8.880622	24.035113	-3.8171402	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5
203951_at	3.07E-12	3.14E-13	-8.043784	19.325814	-3.8020051	CNN1	calponin 1
244655_at	5.08E-37	1E-39	-18.541434	79.843956	-3.7965336	LOC100507311	uncharacterized LOC100507311
202920_at	4.59E-09	7.34E-10	-6.607539	11.69221	-3.7949955	ANK2	ankyrin 2, neuronal
203435_s_at	9.63E-18	4.43E-19	-10.362311	32.656969	-3.7920176	MME	membrane metallo-endopeptidase
203240_at	0.000000233	4.74E-08	-5.772145	7.615042	-3.77249	FCGBP	Fc fragment of IgG binding protein
236656_s_at	1.38E-21	3.38E-23	-11.947565	42.06582	-3.7692035	LOC100288911	uncharacterized LOC100288911
238750_at	2.89E-08	5.16E-09	-6.223891	9.780765	-3.7634915	CCL28	C-C motif chemokine ligand 28
205051_s_at	0.000000153	3.02E-08	-5.865191	8.053115	-3.761082	KIT	KIT proto-oncogene receptor tyrosine kinase
204388_s_at	7.63E-14	6.21E-15	-8.734544	23.202534	-3.745931	MAOA	monoamine oxidase A
235570_at	3.51E-09	5.5E-10	-6.663242	11.97483	-3.7397587	RBMS3	RNA binding motif single stranded interacting protein 3
218872_at	3.44E-43	4.26E-46	-21.334087	94.375303	-3.7350144	TESC	tescalcin
236038_at	9.96E-15	7.14E-16	-9.108504	25.341531	-3.7059562	RNF150	ring finger protein 150
219213_at	1.28E-11	1.42E-12	-7.773605	17.840861	-3.6892451	JAM2	junctional adhesion molecule 2
230595_at	1.05E-36	2.24E-39	-18.393614	79.046957	-3.669003	PGM5-AS1	PGM5 antisense RNA 1
209160_at	0.000000254	5.19E-08	-5.753058	7.525714	-3.6444543	AKR1C3	aldo-keto reductase family 1, member C3
204154_at	3.09E-12	3.16E-13	-8.042854	19.320672	-3.6405696	CDO1	cysteine dioxygenase type 1
221748_s_at	5.45E-23	1.07E-24	-12.523692	45.491746	-3.6352753	TNS1	tensin 1
212886_at	6.21E-16	3.71E-17	-9.614348	28.27033	-3.6318795	CCDC69	coiled-coil domain containing 69
209074_s_at	9.16E-14	7.52E-15	-8.701113	23.012563	-3.6246353	FAM107A	family with sequence similarity 107 member A
219059_s_at	9.54E-22	2.28E-23	-12.01344	42.457781	-3.6223836	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1
229310_at	3.32E-12	3.42E-13	-8.028543	19.241534	-3.6202057	KLHL29	kelch like family member 29
1553243_at	2.51E-38	3.79E-41	-19.149393	83.092803	-3.6196545	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
204570_at	2.08E-15	1.35E-16	-9.394168	26.991027	-3.6118524	COX7A1	cytochrome c oxidase subunit 7A1
228268_at	0.000000539	0.000000116	-5.584011	6.742648	-3.5980283	FMO2	flavin containing monooxygenase 2
227530_at	1.1E-13	9.16E-15	-8.666861	22.818157	-3.5951376	AKAP12	A-kinase anchoring protein 12
218974_at	3.62E-13	3.24E-14	-8.445732	21.56881	-3.585745	SOBP	sine oculis binding protein homolog
228885_at	7.15E-14	5.78E-15	-8.746978	23.273248	-3.5856178	MAMDC2	MAM domain containing 2
210794_s_at	6.71E-16	4.03E-17	-9.600103	28.187372	-3.5838139	MEG3	maternally expressed 3 (non-protein coding)
203881_s_at	3.69E-08	6.7E-09	-6.171737	9.525862	-3.5823663	DMD	dystrophin
204955_at	1.02E-09	1.47E-10	-6.915886	13.271854	-3.5611317	SRPX	sushi repeat containing protein, X-linked
205236_x_at	7.8E-22	1.83E-23	-12.049532	42.672516	-3.5588169	SOD3	superoxide dismutase 3, extracellular
224159_x_at	3.4E-45	3.18E-48	-22.310363	99.217798	-3.5544595	TRIM4	tripartite motif containing 4
823_at	2.2E-09	3.33E-10	-6.759975	12.468539	-3.546137	CX3CL1	C-X3-C motif chemokine ligand 1
228770_at	2.78E-39	4E-42	-19.571235	85.319334	-3.5311248	GPR146	G protein-coupled receptor 146
209291_at	0.00000787	0.00000202	-4.956619	3.972024	-3.5300431	ID4	inhibitor of DNA binding 4, HLH protein
209057_x_at	5.74E-45	5.57E-48	-22.197529	98.664381	-3.5275438	CDC5L	cell division cycle 5 like
206453_s_at	2.38E-11	2.74E-12	-7.653875	17.189234	-3.5187072	NDRG2	NDRG family member 2
204273_at	4.11E-12	4.28E-13	-7.98839	19.019788	-3.508284	EDNRB	endothelin receptor type B
206201_s_at	1.12E-11	1.23E-12	-7.798324	17.975899	-3.4921567	MEOX2	mesenchyme homeobox 2
230003_at	1.83E-24	2.82E-26	-13.132658	49.102848	-3.4859069	SLC16A7	solute carrier family 16 member 7
228618_at	3.71E-37	7.2E-40	-18.602652	80.173216	-3.4815747	PEAR1	platelet endothelial aggregation receptor 1
203434_s_at	1.45E-08	2.48E-09	-6.369749	10.500061	-3.4805161	MME	membrane metallo-endopeptidase
210964_s_at	1.1E-13	9.2E-15	-8.666135	22.814039	-3.4742033	GYG2	glycogenin 2
218002_s_at	0.000191	0.0000616	-4.130424	0.689231	-3.4740053	CXCL14	C-X-C motif chemokine ligand 14
