ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
23148	0.000000109	8.7E-10	-7.7179693	12.256008	-6.6087739	SCGB1D1	secretoglobin family 1D member 1
16862	0.000000148	1.28E-09	-7.6048299	11.882217	-6.3511802	SCGB1D2	secretoglobin family 1D member 2
3456	1.21E-08	6.41E-11	-8.4968558	14.800536	-6.2738642	ANKRD30A	ankyrin repeat domain 30A
33130	0.000011	0.000000279	-6.0293709	6.626349	-6.1815279	PIP	prolactin induced protein
11458	0.0000432	0.00000154	-5.5294499	4.967805	-6.162622	SCGB2A2	secretoglobin family 2A member 2
26786	1.34E-11	7.14E-15	-11.3920032	23.638156	-5.5276956	COL17A1	collagen type XVII alpha 1 chain
22382	0.00000844	0.000000202	-6.1237703	6.941287	-5.391305	PIGR	polymeric immunoglobulin receptor
43891	0.000109	0.00000493	-5.1843032	3.837129	-5.3716743	WIF1	WNT inhibitory factor 1
36172	7.21E-08	5.32E-10	-7.8636814	12.736019	-5.1735234	SCN2B	sodium voltage-gated channel beta subunit 2
17974	4.69E-09	2.09E-11	-8.836706	15.892146	-5.1684623	PI15	peptidase inhibitor 15
5044	0.000000595	7.14E-09	-7.0986832	10.20045	-4.9505439	TP63	tumor protein p63
26516	3.09E-10	6.18E-13	-9.9324491	19.319092	-4.9102774	RIC3	RIC3 acetylcholine receptor chaperone
990	1.94E-08	1.15E-10	-8.3213214	14.231974	-4.8708207	EDN3	endothelin 3
12680	0.00000212	3.61E-08	-6.6256896	8.619711	-4.8001708	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2
39786	2.02E-09	7.32E-12	-9.1588636	16.914947	-4.7249944	OXTR	oxytocin receptor
7763	0.000000439	4.91E-09	-7.2085669	10.566683	-4.6929004	NPY2R	neuropeptide Y receptor Y2
23515	0.00000119	0.000000017	-6.8452305	9.354049	-4.6920885	CLDN11	claudin 11
21828	3.66E-09	1.52E-11	-8.9347258	16.204617	-4.5881532	KIAA1456	KIAA1456
886	0.00000141	2.13E-08	-6.7798322	9.135376	-4.5503997	APOD	apolipoprotein D
38102	0.0000331	0.00000111	-5.6245519	5.281758	-4.4169064	HS3ST4	heparan sulfate-glucosamine 3-sulfotransferase 4
16655	0.000000229	2.2E-09	-7.4445717	11.351284	-4.4039643	CARMN	cardiac mesoderm enhancer-associated non-coding RNA
36530	1.54E-10	2.35E-13	-10.241076	20.256596	-4.3996998	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma
18011	0.000000138	1.18E-09	-7.6269791	11.955464	-4.3859959	KLHL13	kelch like family member 13
486	0.00000149	2.32E-08	-6.7542435	9.049794	-4.347909	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2
37396	0.0000977	0.0000043	-5.2245574	3.968188	-4.3057418	NTRK2	neurotrophic receptor tyrosine kinase 2
28920	1.08E-08	5.64E-11	-8.535361	14.924836	-4.2869643	TP63	tumor protein p63
4301	0.000000408	4.46E-09	-7.2363605	10.659232	-4.1805721	SEMA6D	semaphorin 6D
16886	0.0000116	0.000000303	-6.0051516	6.545614	-4.101936	DNALI1	dynein axonemal light intermediate chain 1
19047	0.000000143	1.23E-09	-7.6143833	11.913814	-4.0714193	ACTA2-AS1	ACTA2 antisense RNA 1
11440	0.000062	0.00000241	-5.3959711	4.528778	-4.0686562	NTRK2	neurotrophic receptor tyrosine kinase 2
